구분,제조판매사,AS현황,주소,전화번호,데이터기준일자
승용,기아,제주서비스센터 직영점,제주특별자치도 제주시 선반로6길 12,064-724-8585,2019-03-19
승용,르노삼성,제주정비사업소 직영점,제주특별자치도 제주시 연삼로 75,064-713-1100,2019-03-19
승용,르노삼성,서비스코너 도남점,제주특별자치도 제주시 원남2길 7,064-805-6611,2019-03-19
승용,르노삼성,지정정비코너 노형점,제주특별자치도 제주시 노형로 302,064-744-5172,2019-03-19
승용,르노삼성,지정정비코너 토평점,제주특별자치도 서귀포시 516로 133,064-732-3334,2019-03-19
승용,현대,제주서비스센터 직영점,제주특별자치도 제주시 조천읍 일주동로 1323,064-784-4111,2019-03-19
승용,BMW,도이치모터스 제주전시장,제주특별자치도 제주시 연삼로120,064-757-7301,2019-03-19
승용,GM,제주서비스센터 직영점,제주특별자치도 제주시 선반남2길 63,064-756-9400,2019-03-19
승용,닛싼,플러스오토 공식인증센터,제주특별자치도 제주시 선반남2길 63,064-725-4972,2019-03-19
초소형,대창모터스,카라이프 중앙점,제주특별자치도 제주시 구남동6길 10,064-756-9106,2019-03-19
초소형,대창모터스,에보샵,제주특별자치도 제주시 도리로 88,064-747-5073,2019-03-19
초소형,대창모터스,아이나비 서귀포점,제주특별자치도 서귀포시 토평서로11번길 152,1544-9106,2019-03-19
초소형,쎄미시스코,EV스마트센터,제주특별자치도 제주시 연북로 746,064-805-3425,2019-03-19
화물(경형),파워프라자,파워프라자 직영점,제주특별자치도 제주시 첨단로 213-3,064-757-4955,2019-03-19
